sat_name,tle_line1,tle_line2
GOES-16,1 41866U 16071A   24354.79751793 -.00000241  00000-0  00000+0 0  9993,2 41866   0.0439 224.8146 0001664  88.7757 347.2047  1.00270783 29634
GOES-17,1 43226U 18022A   24354.61373791 -.00000084  00000-0  00000-0 0  9998,2 43226   0.0400 172.9510 0003624  90.0312 301.9698  1.00271690 24961
GOES 18,1 51850U 22021A   24350.92587427  .00000104  00000-0  00000+0 0  9998,2 51850   0.0085 106.1825 0000838 191.9314 343.2730  1.00273503 10301
GOES-19,1 60133U 24119A   24354.79456399 -.00000176  00000-0  00000+0 0  9994,2 60133   0.0428 188.6740 0001319 123.2805 333.5044  1.00272896  1848
NOAA-21 (JPSS-2),1 54234U 22150A   24354.89394602  .00000226  00000-0  12772-3 0  9999,2 54234  98.7113 290.4076 0001167  14.6367 345.4843 14.19571912109325
NOAA 20 (JPSS 1),1 43013U 17073A   24355.06770263  .00000207  00000-0  11899-3 0  9999,2 43013  98.7260 290.0051 0002104  66.0957 294.0439 14.19521368367278
COSMOS 1045,1 11084U 78100A   24354.96134948 -.00000005  00000-0 -18048-3 0  9993,2 11084  82.5485 349.9603 0011983 340.7032  45.9109 11.96766590 16165
INSAT 3DR,1 41752U 16054A   24354.89632744 -.00000070  00000-0  00000-0 0  9994,2 41752   0.1170  93.6935 0014328 177.3337 214.6153  1.00271538 30365
FENGYUN 2E,1 33463U 08066A   24354.95600841 -.00000148  00000-0  00000+0 0  9993,2 33463   8.0155  59.0877 0000662 162.2881 215.3314  0.99123445 58603
